epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,43.8584,0.61761,0.47968,1.00016,0.64463,0.83803,0.67794,0.55518,0.87292,0.90882,1.22387,0.000742625,0.000742625,0.000742625
43,44.8995,0.55777,0.43437,0.97756,0.56897,0.85915,0.92288,0.7788,0.89406,0.94251,1.23093,0.00073025,0.00073025,0.00073025
44,45.8909,0.59232,0.43575,1.00104,0.57499,0.8502,0.92325,0.82938,0.90647,0.9515,1.22415,0.000717875,0.000717875,0.000717875
45,46.8728,0.58686,0.41857,0.99574,0.58795,0.84013,0.66666,0.54434,0.91408,0.98413,1.23894,0.0007055,0.0007055,0.0007055
46,47.8582,0.57607,0.43288,0.98427,0.51202,0.92254,0.58687,0.47277,0.93692,0.982,1.27986,0.000693125,0.000693125,0.000693125
47,48.8784,0.54854,0.40314,0.98843,0.47387,0.92294,0.5847,0.47578,0.90913,0.91706,1.24593,0.00068075,0.00068075,0.00068075
48,49.8699,0.51853,0.41087,0.98462,0.43939,0.93264,0.55573,0.46043,0.84692,0.83204,1.19162,0.000668375,0.000668375,0.000668375
49,50.8618,0.55997,0.40948,0.96784,0.48125,0.93648,0.60623,0.50943,0.85807,0.85301,1.20035,0.000656,0.000656,0.000656
50,51.8337,0.57991,0.3959,0.97421,0.61987,0.86354,0.68955,0.58461,0.86531,0.90273,1.21625,0.000643625,0.000643625,0.000643625
51,52.8043,0.51693,0.3793,0.9445,0.55619,0.85211,0.60223,0.48528,0.87117,0.98582,1.21909,0.00063125,0.00063125,0.00063125
52,53.786,0.51971,0.38109,0.97345,0.57188,0.86377,0.68231,0.56711,0.83977,0.97714,1.20366,0.000618875,0.000618875,0.000618875
53,54.7437,0.50137,0.37634,0.96239,0.70188,0.87411,0.93564,0.79226,0.82954,0.88989,1.19059,0.0006065,0.0006065,0.0006065
54,55.7158,0.53616,0.39763,0.99263,0.63828,0.9115,0.93941,0.84461,0.82391,0.8368,1.17525,0.000594125,0.000594125,0.000594125
55,56.6836,0.4896,0.35986,0.95552,0.61852,0.92254,0.9468,0.84829,0.84483,0.83164,1.18583,0.00058175,0.00058175,0.00058175
56,57.6558,0.51058,0.36697,0.96068,0.81489,0.9507,0.94897,0.84517,0.86256,0.85623,1.20157,0.000569375,0.000569375,0.000569375
57,58.6162,0.50847,0.39592,0.95817,0.83033,0.95775,0.95155,0.79616,0.86965,0.80864,1.22424,0.000557,0.000557,0.000557
58,59.606,0.49564,0.3533,0.95397,0.84352,0.9507,0.95082,0.79296,0.87881,0.75656,1.24752,0.000544625,0.000544625,0.000544625
59,60.5898,0.52436,0.36674,0.96258,0.85927,0.93272,0.94871,0.791,0.88001,0.75651,1.27156,0.00053225,0.00053225,0.00053225
60,61.576,0.49251,0.35936,0.93524,0.87177,0.95775,0.94828,0.79302,0.87049,0.76393,1.25524,0.000519875,0.000519875,0.000519875
61,62.5551,0.46817,0.33153,0.94206,0.87078,0.97183,0.95403,0.85874,0.85141,0.7747,1.22876,0.0005075,0.0005075,0.0005075
62,63.5659,0.47605,0.35475,0.94949,0.84449,0.97887,0.96041,0.86706,0.8279,0.75649,1.20183,0.000495125,0.000495125,0.000495125
63,64.615,0.47189,0.33572,0.9407,0.8127,0.98592,0.96391,0.81672,0.84969,0.72597,1.22428,0.00048275,0.00048275,0.00048275
64,65.5848,0.50726,0.36815,0.96937,0.81121,0.98592,0.96355,0.81298,0.84011,0.6794,1.21037,0.000470375,0.000470375,0.000470375
65,66.5557,0.44828,0.3211,0.94895,0.83939,0.97887,0.96035,0.81162,0.82722,0.66529,1.19688,0.000458,0.000458,0.000458
66,67.5208,0.4361,0.31402,0.93409,0.85512,0.97887,0.95464,0.80523,0.82319,0.66523,1.19324,0.000445625,0.000445625,0.000445625
67,68.4943,0.46993,0.34939,0.9514,0.86126,0.97887,0.95636,0.8087,0.82292,0.66547,1.19303,0.00043325,0.00043325,0.00043325
68,69.473,0.46321,0.32955,0.94192,0.85691,0.97887,0.95739,0.81329,0.82367,0.67232,1.19074,0.000420875,0.000420875,0.000420875
69,70.4343,0.45419,0.32063,0.95997,0.86588,0.97887,0.95464,0.81279,0.81941,0.67576,1.19139,0.0004085,0.0004085,0.0004085
70,71.4238,0.47342,0.35215,0.97016,0.88092,0.94363,0.95201,0.81519,0.81212,0.7053,1.18592,0.000396125,0.000396125,0.000396125
71,72.3941,0.43258,0.30889,0.92718,0.84598,0.92254,0.94827,0.81147,0.81151,0.74325,1.19027,0.00038375,0.00038375,0.00038375
72,73.4363,0.44479,0.33121,0.95108,0.81984,0.92254,0.94851,0.81214,0.81787,0.75112,1.1962,0.000371375,0.000371375,0.000371375
73,74.4072,0.41855,0.30562,0.93369,0.80292,0.92836,0.95176,0.81459,0.82094,0.74062,1.19611,0.000359,0.000359,0.000359
74,75.3861,0.42851,0.30836,0.93397,0.80898,0.92958,0.95197,0.81435,0.81777,0.73754,1.19087,0.000346625,0.000346625,0.000346625
75,76.3844,0.39304,0.29302,0.89882,0.83111,0.92254,0.94675,0.80604,0.80406,0.73659,1.18105,0.00033425,0.00033425,0.00033425
76,77.3644,0.41618,0.3264,0.92521,0.83066,0.92466,0.93655,0.79897,0.79701,0.76867,1.17761,0.000321875,0.000321875,0.000321875
77,78.3347,0.43371,0.34697,0.92986,0.83776,0.95318,0.93001,0.84381,0.79082,0.78506,1.17581,0.0003095,0.0003095,0.0003095
78,79.3275,0.44652,0.30549,0.93414,0.84478,0.96479,0.923,0.8406,0.7907,0.80843,1.18092,0.000297125,0.000297125,0.000297125
79,80.306,0.41258,0.29495,0.92079,0.83526,0.97183,0.92126,0.83932,0.79188,0.8014,1.19574,0.00028475,0.00028475,0.00028475
80,81.2753,0.42709,0.3301,0.92941,0.82011,0.98131,0.92019,0.78132,0.80072,0.81712,1.21498,0.000272375,0.000272375,0.000272375
81,82.2441,0.43304,0.34447,0.93032,0.8165,0.98592,0.93803,0.80237,0.80353,0.79927,1.22179,0.00026,0.00026,0.00026
82,83.2331,0.41825,0.30381,0.92521,0.8089,0.98592,0.94606,0.8097,0.79619,0.78796,1.21296,0.000247625,0.000247625,0.000247625
83,84.2374,0.39953,0.29356,0.909,0.83014,0.98592,0.95244,0.86551,0.79202,0.78083,1.20121,0.00023525,0.00023525,0.00023525
84,85.2438,0.39206,0.29604,0.91147,0.84584,0.97887,0.95682,0.86941,0.78518,0.75818,1.19173,0.000222875,0.000222875,0.000222875
85,86.2664,0.35984,0.27333,0.87782,0.86181,0.97887,0.96508,0.87985,0.77438,0.73831,1.18529,0.0002105,0.0002105,0.0002105
86,87.2907,0.4224,0.30633,0.93017,0.87033,0.97887,0.96584,0.83026,0.77564,0.72989,1.1912,0.000198125,0.000198125,0.000198125
87,88.2533,0.39604,0.28134,0.91842,0.85957,0.97887,0.9657,0.82958,0.77346,0.70618,1.19207,0.00018575,0.00018575,0.00018575
88,89.2351,0.38894,0.30667,0.90863,0.85599,0.97172,0.9662,0.82373,0.78525,0.6957,1.19676,0.000173375,0.000173375,0.000173375
89,90.2101,0.38545,0.28043,0.89942,0.85162,0.97618,0.96471,0.8176,0.79294,0.68309,1.19854,0.000161,0.000161,0.000161
90,91.1874,0.37814,0.27538,0.91608,0.85176,0.97887,0.96112,0.8152,0.79541,0.68753,1.19515,0.000148625,0.000148625,0.000148625
91,95.224,0.34895,0.28763,0.88839,0.85341,0.96871,0.95931,0.81164,0.79434,0.70892,1.18953,0.00013625,0.00013625,0.00013625
92,96.1875,0.3326,0.24005,0.88401,0.85134,0.96479,0.95386,0.8064,0.79458,0.70993,1.18526,0.000123875,0.000123875,0.000123875
93,97.2013,0.33394,0.28731,0.85595,0.84685,0.95651,0.95197,0.80382,0.79273,0.70682,1.18552,0.0001115,0.0001115,0.0001115
94,98.1749,0.33309,0.2569,0.85872,0.84474,0.95654,0.95473,0.80587,0.79393,0.69226,1.19038,9.9125e-05,9.9125e-05,9.9125e-05
95,99.1374,0.3422,0.2369,0.8408,0.84519,0.95775,0.95714,0.80689,0.7971,0.67876,1.1945,8.675e-05,8.675e-05,8.675e-05
96,100.103,0.31452,0.2312,0.85037,0.85083,0.9507,0.96074,0.80977,0.79896,0.673,1.19441,7.4375e-05,7.4375e-05,7.4375e-05
97,101.063,0.32429,0.23335,0.85854,0.86572,0.95061,0.9618,0.81271,0.80074,0.66689,1.19403,6.2e-05,6.2e-05,6.2e-05
98,102.035,0.28762,0.22528,0.8539,0.8686,0.95156,0.96366,0.81222,0.80348,0.67127,1.19273,4.9625e-05,4.9625e-05,4.9625e-05
99,103.01,0.3198,0.23589,0.85614,0.87306,0.9567,0.96477,0.81213,0.80473,0.67673,1.19338,3.725e-05,3.725e-05,3.725e-05
100,103.994,0.2979,0.23071,0.83727,0.87235,0.95775,0.96552,0.80993,0.8044,0.68038,1.19291,2.4875e-05,2.4875e-05,2.4875e-05
